Send the next applicant in on your way out.	나가시는 길에 다음 지원자를 들여보내 주세요.
What does the job applicant agree to do?	구직자는 무엇에 동의하나?
His was the hundredth applicant for the job.	그는 그 일의 100번째 지원자였다.
She was apprehensive of your safety.	그녀가 네 안부를 물었다.
We were apprehensive that he may go wrong.	그가 잘못될까봐 우리는 걱정했다.
We are apprehensive about the safety of the party.	일행의 안부가 염려된다
His mom is talking to him about his aptitude test record.	그의 어머니는 그의 적성 검사결과에 대해 이야기를 하고 있습니다.
Here it is. It says I have an aptitude for math and science.	여기 있어요. 적성 검사 결과, 저는 수학과 과학에 적성이 있는 것으로 나타났어요.
Another commonly used test is the aptitude test.	또 다른 흔히 사용되는 검사는 적성 검사이다.
Don't associate with bad and dishonest boys.	나쁘고 정직하지 못한 아이들과 사귀지 말아라.
They will decline to associate with you.	그들은 너와 교제하는 것을 주저할 것이다
I'll assign my best young associate.	나는 나의 가장 훌륭한 젊은 동료를 파견할 것이다.
a bilingual approach to the learning of English.	이중 언어 접근법적 영어 학습
The magazine is of a bilingual character.	그 잡지는 2개국어로 편집돼 있다.
She works as a bilingual secretary for an insurance company.	그녀는 보험 회사에서 2개 국어를 하는 비서로 일한다.
That situation is common in a broad way.	그 상황은 대체로 말하면 흔하다.
Never drink alcohol in broad day.	한낮에 술 먹지는 마라.
Broad daylight is the best time.	대낮은 가장 좋은 시간이다.
It was a shame that the presidental candidate lost his seat.	대통령 후보가 낙선한 것은 부끄러운 일이었다.
He is a candidate of my company.	그는 내 회사에 지원한 사람이다.
The candidate pressed the flesh all day long.	하루종일 그 후보는 악수를 했다.
He has a certification as a math teacher.	그는 수학 교사 자격증을 가지고 있다.
Adult Certification for Mobile RFID Services	모바일 RFID 서비스 성인인증
Green Building Certification System and ESSD	친환경건축물 인증제도와 지속가능한 개발
They have commensurate duties as well as privileges.	그들은 그들이 특권뿐 아니라 그에 상응하는 의무도 가진다.
Commensurate financial support must be provided for this.	이것에 대해 상응하는 재정적 지원이 제공될 것입니다.
And as we age, commensurate with aging, we lose hormones.	나이가 들수록, 나이가 드는 만큼 호르몬을 잃어 버린다
Self-confidence is the most important key to success.	자신감이 성공의 지름길이다.
Now maybe you'll have a little confidence.	이제 약간의 자신감이 붙었을 거예요.
I am currently not whom I have confidence.	나는 현재 나를 신뢰하고 있지 않다.
He works as a business consultant.	그는 사업 컨설턴트로 일하고 있다.
An outside consultant has been called in.	외부 고문이 초대되었다.
Charlie is a political consultant and a very close friend.	찰리는 정치 자문관이면서 아주 가까운 친구이다.
I received a Ph.D. degree at Arizona State University.	아리조나 주립대학에서 박사학위를 받았습니다.
I obtained a doctor's degree last year.	나는 작년에 박사 학위를 취득했다
I'm a 27-year-old woman with a master's degree.	저는 석사학위를 가지고 있는 27살의 여성입니다.
He is eligible for the presidency.	그는 사장 자격이 있다.
He is not eligible to enter the game.	그는 경기에 참가할 자격이 없다.
High school as well as university students will be eligible.	대학생은 물론 고등학생들도 응모 가능하다.
The current trend is towards part-time employment.	현 추세는 임시직 고용으로 향하고 있다
We find most of our people through employment agencies.	대부분의 직원을 인력 알선업체를 통해서 채용했어요.
Maybe it's an employment thing, a work connection.	아마도 이것은 일과 관련된 고용자의 것이다
Does that entitle me to a few more answers?	나에게 몇가지 좀 더의 답을 부여해주나여?
It doesn't entitle you to do what you like!	너가 좋아하는 것을 하는 것에 대한 자격을 너에게 줄 수 없다.
What will you entitle this particular account?	너는 이러한 특정 계좌를 가질 것이니 ?
Tom is ambitious to get through high school in two years.	톰은 고등학교를 2년 안에 마치려는 포부를 갖고 있다.
I guess she just isn't eating enough to get through the day.	그 여자는 아마 하루 생활하기도 힘들 정도로 먹질 않을 걸요.
I don't know how poor people get through these cold winters.	가난한 사람들은 이 추운 겨울을 어떻게 견디어 낼지 모르겠어요.
He does not esteem women highly.	그는 여자를 그다지 존경하지 않는다
